분기,구,add2,여성인구비중,청년인구비중,청년중여성비중,전체중청년여성비중,전분기대비인구증감률,직장인구밀도,2030상주인구비중,평균소득,지하철점수,복합문화공간
20221,강동구,강동구,51,20.47,51.08,10.46,-0.29,3050.02,29.04,3350772,23,8
20221,강동구,고덕동,49.27,14.89,47.62,7.09,-0.27,1040.65,25.75,3542070,2,1
20221,강동구,길동,51.22,23.73,52.1,12.37,-0.24,3817.74,31.77,2840603,3,0
20221,강동구,둔촌동,50.77,20.98,50.18,10.53,-0.58,4024.84,28.87,3505570,3,1
20221,강동구,명일동,51.23,18.32,50.11,9.18,-0.24,4489.87,26.26,4027240,3,2
20221,강동구,성내동,51.23,23.47,50.96,11.96,-0.33,12253.57,31.83,3053438,5,0
20221,강동구,암사동,50.87,19.41,49.68,9.64,-0.44,2074.31,28.38,3670527,1,0
20221,강동구,천호동,51.17,24.42,52.82,12.9,-0.33,2941.37,31.91,2796060,5,3
20221,강동구,통합(강일동/상일동),51.56,17.03,51.68,8.8,-0.09,960.93,25.54,3381731,1,1
20221,광진구,광진구,51.99,27.7,52.85,14.64,0.14,4773.92,34.3,3050284,20,2
20221,광진구,광장동,51.62,15.88,51.25,8.14,-0.33,6959.41,22.53,5284540,1,0
20221,광진구,구의동,52.36,25.35,52.7,13.36,1.4,6993.94,33.34,3214336,3,0
20221,광진구,군자동,50.66,36.99,50.87,18.81,-0.74,3193.24,40.77,2604535,2,0
20221,광진구,능동,53.96,33.72,55.98,18.88,-0.15,2080,43.7,2846023,3,0
20221,광진구,자양동,51.63,24.02,51.24,12.31,-0.47,4746.64,31.18,3223437,5,1
20221,광진구,중곡동,51.69,25.61,52.33,13.4,-0.48,3629.1,33.41,2503094,2,0
20221,광진구,화양동,53.83,60.03,56.87,34.14,2.05,2294.83,61.98,2470026,4,1
20221,동대문구,동대문구,51.13,26.13,52.04,13.6,0.17,5650.49,31.08,3019703,26,3
20221,동대문구,답십리동,51.64,21.23,52.44,11.13,-0.44,6354.22,30.2,3293832,3,0
20221,동대문구,이문동,51.88,30.96,53.13,16.45,0.32,3633.53,31.56,3069385,3,0
20221,동대문구,장안동,50.48,20.39,51.42,10.49,-0.16,7295.73,28.83,2892099,1,0
20221,동대문구,전농동,50.85,20.91,49.53,10.36,-0.57,2707.32,27.85,3103387,3,1
20221,동대문구,제기동,49.85,29.2,49.68,14.51,0.08,4643.22,30.79,2792227,3,0
20221,동대문구,청량리동,50.35,17.36,47.09,8.18,-0.33,4090.83,22.87,2860315,3,1
20221,동대문구,통합(통합(신설동/통합(신설동/용두동))/통합(신설동/용두동)),50.42,30.92,53.73,16.61,2.81,14844.1,36.91,2894254,6,1
20221,동대문구,회기동,54.05,50.08,55.1,27.59,1.55,1031.58,44.44,3217279,2,0
20221,동대문구,휘경동,51.96,34.91,52.89,18.47,0.04,3466.07,36.39,2897180,2,0
20221,중랑구,중랑구,50.81,21.87,50.63,11.07,0.44,2125.57,28.94,2560285,19,5
20221,중랑구,망우동,50.22,21.14,50.18,10.61,5.83,1137.47,26.97,2337381,2,0
20221,중랑구,면목동,50.33,21.87,49.53,10.83,-0.18,1801.83,29.1,2412723,3,0
20221,중랑구,묵동,51.61,21.47,51.64,11.08,-0.26,2495.19,28.8,2827292,5,1
20221,중랑구,상봉동,51.62,27.26,53.86,14.68,-0.58,5115.69,34.46,2772672,5,3
20221,중랑구,신내동,51.92,18.29,49.63,9.08,-0.58,2298.28,25.6,2920513,2,1
